"emp_no","birth_date","first_name","last_name","gender","hire_date"
10115,"1964-12-25","Chikara","Rissland","M","1986-01-23"
10152,"1954-12-01","Jaques","Munro","F","1986-01-27"
10158,"1958-04-01","Khedija","Mitsuhashi","M","1986-01-29"
10170,"1960-10-03","Kasturi","Jenevein","F","1986-01-02"
10314,"1961-05-04","Christfried","Apsitis","M","1986-01-16"
10329,"1958-04-28","Remko","Shigei","F","1986-01-20"
10384,"1956-08-22","Feiyu","Luft","M","1986-01-16"
10396,"1955-08-21","Sibyl","Rahier","M","1986-01-11"
10494,"1953-12-21","Yakkov","Servieres","F","1986-01-18"
10512,"1955-11-16","Udi","Gihr","M","1986-01-12"
10585,"1963-11-10","Sajjad","Willoner","F","1986-01-05"
10629,"1954-03-23","Lalit","Francisci","F","1986-01-30"
10693,"1953-12-14","Berhard","Daescu","F","1986-01-08"
10757,"1961-01-11","Florina","Simkin","M","1986-01-06"
10822,"1956-08-02","Masaru","Passino","F","1986-01-11"
10837,"1957-02-06","Chuanti","Karlin","M","1986-01-14"
10979,"1959-09-11","Elrique","Raney","F","1986-01-27"
11252,"1959-11-04","Rutger","Dulin","M","1986-01-15"
11318,"1964-09-09","Gopalakrishnan","Unno","F","1986-01-25"
11378,"1959-07-30","Masamitsu","Katiyar","F","1986-01-03"
11591,"1961-10-03","Kiyomitsu","Lindqvist","M","1986-01-07"
11687,"1963-02-28","Owen","Peak","M","1986-01-13"
11941,"1960-09-01","Gaurav","Cyre","M","1986-01-31"
11999,"1961-09-17","Apostol","Rabehasaina","F","1986-01-16"
12032,"1957-12-07","Oguz","Etalle","M","1986-01-21"
12082,"1953-09-20","Xinan","Yamaashi","M","1986-01-29"
12128,"1953-09-13","Yannik","Barreiro","F","1986-01-29"
12204,"1958-04-08","Menkae","Mattern","F","1986-01-05"
12624,"1956-10-30","Zhongwei","Zykh","M","1986-01-25"
12779,"1963-05-10","Miomir","Birrer","M","1986-01-05"
12809,"1963-03-08","Huei","Gargeya","F","1986-01-15"
12937,"1953-03-17","Arup","Cincotta","M","1986-01-26"
13014,"1962-06-01","Gianluca","Budinsky","M","1986-01-21"
13094,"1964-12-19","Sanjay","Servieres","F","1986-01-01"
13105,"1961-01-01","Zito","Carrere","F","1986-01-19"
13178,"1959-08-08","Kankanahalli","Itschner","M","1986-01-10"
13415,"1955-06-23","Nathalie","Speer","F","1986-01-01"
13457,"1955-06-27","Shooichi","Parfitt","M","1986-01-18"
13477,"1957-11-13","Reuven","Karlin","M","1986-01-14"
13531,"1957-03-09","Shuichi","Sluis","M","1986-01-04"
13652,"1956-04-05","Eldridge","Ramsak","F","1986-01-30"
13669,"1964-11-19","Hidde","Peng","M","1986-01-24"
13728,"1964-05-23","Insup","Swab","M","1986-01-03"
13809,"1953-07-05","Kiyotoshi","Basagni","M","1986-01-12"
13841,"1952-12-10","Christophe","Spinelli","M","1986-01-09"
13864,"1956-11-01","Gladys","Attimonelli","M","1986-01-31"
13960,"1953-01-03","Nechama","Hettesheimer","M","1986-01-22"
14081,"1964-05-04","Alain","Fontet","M","1986-01-13"
14104,"1965-01-03","Sudhanshu","Demian","M","1986-01-02"
14171,"1957-10-15","Gift","Garnham","M","1986-01-10"
14224,"1952-02-24","Guther","Conta","M","1986-01-30"
14265,"1963-02-21","Jaber","Roison","F","1986-01-06"
14333,"1957-06-27","Alois","Pettey","F","1986-01-15"
14483,"1954-11-01","Supot","Marrevee","M","1986-01-30"
14551,"1965-01-18","Richard","Sinitsyn","M","1986-01-05"
14603,"1954-11-13","Lech","Marquardt","M","1986-01-19"
14695,"1956-07-25","Udo","Cromarty","F","1986-01-04"
14845,"1962-08-10","Theron","Homond","F","1986-01-01"
14913,"1960-06-11","Karlis","Fujisaki","F","1986-01-15"
14965,"1959-07-11","Gila","Swiler","M","1986-01-11"
14969,"1964-01-23","Hongzue","Himler","F","1986-01-03"
15006,"1963-01-29","Miquel","Cools","F","1986-01-08"
15034,"1956-03-30","Pranas","Hoogerwoord","F","1986-01-08"
15038,"1961-06-22","Weidon","Dalphin","M","1986-01-03"
15249,"1958-05-26","Guiseppe","Pargaonkar","F","1986-01-23"
15285,"1957-04-02","Yurii","Veeraraghavan","M","1986-01-03"
15325,"1959-04-06","Maia","Sadowsky","F","1986-01-04"
15544,"1960-08-09","Wilmer","Molenkamp","F","1986-01-26"
15800,"1960-01-28","Kazunori","Strandh","M","1986-01-07"
15880,"1955-01-23","Miquel","Dechter","M","1986-01-30"
15928,"1958-03-19","Bangqing","Feinberg","F","1986-01-05"
15948,"1955-03-05","Karoline","Versino","F","1986-01-14"
16062,"1963-02-26","Jaques","Peak","F","1986-01-25"
16111,"1957-11-12","Pantung","Rijckaert","F","1986-01-24"
16231,"1959-06-13","Cheong","Masamoto","M","1986-01-09"
